subject,content,post_id,uid,s_content,auther,topic1,topic2,topic3
多的鸣草不要丢，拿来这里换宝箱和成就,宵宫复刻结束了，不知道友友们多了多少宵宫突破材料鸣草呢，今天就带大家把没有用的鸣草都给消化掉_(宵宫-伸懒腰)首先我们来到绯木村的七天神像然后往花着红色圈圈的位置走过来后翻过山可以看到有一,31841081,319012633,"['宵宫复刻结束了，不知道友友们多了多少宵宫突破材料鸣草呢，今天就带大家把没有用的鸣草都给消化掉', '_(宵宫-伸懒腰)', '\n\n首先我们来到绯木村的七天神像\n', '\n然后往花着红色圈圈的位置走\n', '\n过来后翻过山可以看到有一户人家\n', '\n而在他们家门口有个竹篮\n', '\n对话后让我们放12株鸣草进去，放进去后在与竹篮对个话第一天任务就完成啦', '_(柯莱-尴尬)', '\n\n第二天还是来到老地方，不过这次在竹篮前面有一个精致宝箱\n', '\n还是老规矩给他放12株鸣草再对个话就完成啦\n', '第三天还是老样子，拿宝箱交鸣草对话，不多\n说了\n', '\n接下来我们来到第四天我们还是来到这个位置，我们发现没有宝箱啦', '_(珊瑚宫心海-还给我)', '只剩下了放\n有鸣草的竹篮，我们点击对话\n', '\n然后我们往北看，打开元素视野，可以看到紫\n色痕迹\n', '\n跟着踪迹我们来到了一处海乱鬼守护的营地\n', '\n过来后往北看，需要的道具在大箱子上\n', '\n不用打怪，过去后直接拿着即可\n', '\n药师的笔记·二 在这里\n', '\n过来后能发现有两个武士在那边，我们不用管\n他过来直接拿走即可\n', '\n下一个笔记的位置在这里\n', '\n路线如下:\n              从药师的笔记·二那个位置往北偏东走，然后来到这个位置\n', '\n跳下悬崖后可以看到前面有棵树，树前就是游医的笔记·三\n', '\n拾取完这三个后我们就可以获得一个隐藏成就——游医的奥德赛\n', '\n然后接下来我们来到这个锚点\n', '\n一转头就能发现一个华丽宝箱啦', '_(可莉-抓到了！)', '\n', '\n']",忱星辰,[],[],['其他攻略']
公子到底选哪把四星武器？——超详细分析！,最近有挺多抽到了公子的友友问我，自己没抽专武，也没五星武器，目前有精几的月卡弓，精几的绝弦...很纠结用哪一把四星。本篇尽量用详细的分析来解答一下友友们的疑惑，公子四星武器到底选哪个？粗略地统计了一,31868094,324170599,"['最近有挺多抽到了公子的友友问我，自己没抽专武，也没五星武器，目前有精几的月卡弓，精几的绝弦...很纠结用哪一把四星。本篇尽量用详细的分析来解答一下友友们的疑惑，', '公子四星武器到底选哪个？', '\n', '粗略地统计了一下，目前最热门争议的三把四星武器分别为苍翠猎弓(月卡弓)，绝弦以及弓藏', '\n', '朦云之月的存在感有点低，这里暂不讨论_(偶像姬_糖葫芦)(实在要说一下的话，朦云之月在万达国际中表现和相同精数的绝弦差不多)', '\n\n', '不想看下去的友友，在这直接给答案吧', '\n', '万达公子 : 暴击率在60%以下(没有武器加持时)推荐用苍翠猎弓，70％以上推荐用绝弦，60%~70%建议再刷一下圣遗物；不推荐使用弓藏', '\n', '武装或大世界使用的公子 : 弓藏最优，月卡弓和绝弦亦可', '\n\n', '想知其原因的友友可以继续阅读以下内容哦', '_(米游姬 感谢)\n', '我们先从这三把武器的副词条和特效开始分析，如图为满级满精的绝弦和弓藏，精1的月卡弓\n', '可以看到，三把武器的副词条对公子的提升都是非常大的，我们着重来分析一下武器特效\n月卡弓我们主要吃它的暴击率，特效几乎等于白板，精1即可\n那武器特效的争议就只剩下绝弦和弓藏两把武器了，到底谁的特效更胜一筹呢？\n\n选择武器，需要从配队，手法，实战三个角度进行分析\n\n目前公子最主流的配队为万达国际/砂达国际\n', '万达国际常规输出手法如下\n公子E，班尼特Q，万叶长E，香菱QE，公子EQAZAZAZ循环\nAZ : 意为平a接重击\n万达是偏速切的打法，公子的输出主要靠大招的爆发，重击，以及之后触发的断流·斩。其中断流·斩视为元素战技伤害\n用中立的苍翠猎弓简单测试了一下万达公子伤害来源占比(大概的占比，每个人的练度不一样会直接影响到伤害的占比)\n', '可以这么理解，万达公子大部分伤害来源于元素爆发，重击和元素战技，平A占比较少\n那答案就非常显而易见了，简单来说就是，你是想占比73%的伤害提升48%呢，还是想占比7%的伤害提升80%呢？_(米游姬-乖巧)而且弓藏还有重击伤害减10%的debuff\n很简单的数学问题，相信友友们一眼就能看出答案来了_(米游姬-点赞)\n考虑到低龄的友友，这里粗略地打个比喻，你原本有100块，V你钱，你是想拿70块的一半，还是只拿不到7块钱？拿哪个你总共的钱最多？_(米游姬-呆滞)\n\n还有非常重要的一点！！弓藏的副词条加攻击，与班尼特的加攻击互相稀释，导致弓藏的攻击力收益不如绝弦的精通收益\n所以在万达国际中，绝弦公子自然是优于弓藏公子的(实测在实战中，相同精通的绝弦和弓藏的伤害期望值差距大致为10.6%)\n\n那月卡弓和绝弦该如何比较？\n众所周知，公子的暴击率必须保证在70%以上才能玩得比较舒服，但凡一次不暴击就很容易高血压，所以有一小部分友友的公子直接堆百暴，虽然不推荐，但这样的确很省心\n月卡弓虽然特效是白板，但宝贵的暴击率加成让你的公子面板轻松毕业。暴击率在60%以下(没有武器加持时)推荐用苍翠猎弓，70％以上推荐用绝弦，60%~70%之间建议再刷一下圣遗物\n补充一点，相同配置，精1的绝弦的伤害期望值仍然要比月卡弓的伤害期望值要高哦\n\n综上所述，在万达国际中，绝弦>=苍翠猎弓>弓藏\n\n不知道友友们有没有注意到，为什么我一直强调“在万达国际中”？\n一句话，因为公子在其他配队中，弓藏优于绝弦和月卡弓\n\n比如在魔王武装中，公子需要通过不断平A来触发行秋和北斗的Q\n', '武装队的雏形，没有魔王武装就没有现在的砂武，心武，草武\n现阶段不推荐该配队，近战武装太难玩了，而且dps也略显不足，实在想玩武装队推荐草神武装(草神国家队)\n\n注 : 公子在大世界中使用弓藏其实也是不错的选择哦\n\n当然，有五星武器肯定优先考虑五星武器，如果没有以上三把武器，精5鸦羽弓也是非常不错的选择\n', '若有错误，缺漏，疑问部分，欢迎友友们在评论区指出。同时也期待友友们的发言哦_(偶像姬_WINK)', '\n']",是心爱酱哦,['达达利亚'],[],"['角色攻略', '原神3.2攻略征集']"
【V3.2攻略·角色攻略】达达利亚操作机制详解,UID: 180183029不得不说，原神开服两年多，达达利亚依然是机制最复杂的角色之一。割草手感极佳，其“万达国际”的配队也长期占据深渊热门。1. 技能介绍达达利亚的核心机制是“断流”，描述,31774739,281558728,"['UID: 180183029\n不得不说，原神开服两年多，达达利亚依然是机制最复杂的角色之一。割草手感极佳，其“万达国际”的配队也长期占据深渊热门。\n\n1. 技能介绍\n达达利亚的核心机制是', '“断流”', '，描述里提到的断流有5处，普通攻击里的“断流·破”和“断流·闪”、E技能里的“斩”、大招里的“爆”和天赋2里的“...暴击附加断流状态”。它们的伤害来源各不相同，元素含量各不相同，甚至附着频率也不同。\n不完全搞明白也不要紧，只需要知道两点：', '一，元素附着为单独的高频水伤；二，水伤为范围伤害，敌人越多触发越频繁。', '其他时候有大放大，没大开E（注意CD）即可。\n由于达达利亚E技能cd较长，有条件的话', '建议解锁1命', '，提升体验。\n', '\n2. 装备选择\n达达利亚的圣遗物可选', '2水+2攻击', '(角斗士，辰砂等)，', '2沉沦+2精通', '(流浪大地，饰金之梦)，', '4沉沦', '。主词条为', '攻击沙、水伤杯、暴击/爆伤头', '，保障65%以上的暴击率。\n', '\n武器方面，专武“', '冬极白星', '”自然是最适配的。当然，作为“汤达人”，其他五星弓箭也能驾驭，区别不大。四星则可用“', '绝弦', '”或者大月卡里的“', '苍翠猎弓', '”。\n', '\n\n3. 队伍搭配\n达达利亚的阵容可以有很多，但真正能发挥他长处的还得是', '万达国际', '(达达利亚、万叶、班尼特和香菱)。\n', '万叶带风套，减抗聚怪加增伤；班尼特带4宗师或者4教官，加攻及治疗；香菱带绝缘套，高频上火，后台输出。', '\n技能循环方面，达达利亚点按E挂水加断流；班尼特开大挂火；万叶开Q，火染色，再开E扩火扩水，减抗聚怪增伤；香菱开大放锅巴；最后切达达利亚开E输出，有大开大没大平砍。\n', '\n', '\n欢迎留言交流', '_(米游姬 抱抱)', '\n']",乱章,['达达利亚'],[],"['角色攻略', '原神3.2攻略征集']"
原神：推荐四个超强幻神角色，平均伤害突破10万，未来可期！,众所周知，原神中的角色定位有所不同，有近战有法师有射手，玩家可以根据自己的喜爱选择更合适的角色。其中近战角色更受玩家喜欢，因为操作简单爆发力足，一般都是主C为主。在众多近战角色中也有强度排行，那么接,31736317,303572055,"['众所周知，原神中的角色定位有所不同，有近战有法师有射手，玩家可以根据自己的喜爱选择更合适的角色。', '\n', '其中近战角色更受玩家喜欢，因为操作简单爆发力足，一般都是主C为主。在众多近战角色中也有强度排行，那么接下来推荐近战超强的幻神角色，平均伤害达到10万！', '\n', '一、优菈爆发力惊人', '\n', '如果要说爆发力谁最强，优菈肯定当仁不让。作为物理攻击一姐，拥有最强输出能力，可在短时间打出爆发伤害。', '\n', '双手武器角色一般都比较迟钝，但是优菈给人的感觉却不一样，相比之下玩家更喜欢用优菈而不是一斗。', '\n', '尤其是配队方面打造成本低，可以搭配班尼特、罗莎莉亚、旅行者（雷）等，比较适合新手玩家。如果喜欢爆发力强的角色。优菈是不二之选。', '\n', '二、胡桃近战最强主C', '\n', '胡桃作为当前热门的角色，成为目前唯一火元素幻神角色，输出能力堪称一绝。胡桃根据生命值而增加攻击力，生命值越高伤害越高，既有伤害又有高生命值，完全不用担心被怪物秒杀，尤其是搭配钟离、行秋输出能力更上一层楼！', '\n', '根据一个毕业角色伤害数值测试，胡桃平均重击伤害达到10万以上，只高不低！注意，是平均伤害，试问哪个怪物能坚持10秒？', '\n', '如果拥有这个角色建议大力培养，任何版本都能使用。', '\n', '三、妮露新生代主C', '\n', '妮露应该是近期最强的新角色，没有之一。作为新角色能成为T0角色，这是非常少见的。', '\n', '妮露到底有多强？只要搭配双草双水角色，绽放伤害直接突破10万。妮露不同于其他角色来回跳动，释放技能打出技能被动就能打出爆发伤害，完全没有任何压力。', '\n', '非常适合新手，老玩家也非常喜欢这个角色。不仅人美声甜而且很温柔，完全就是“梦中情人”。', '\n', '装备搭配毕业12层深渊闭着眼睛都能通关，就是这么强势！', '\n', '四、赛诺得益于草神', '\n', '很多人都说赛诺拉垮，其实并没有想象中那么不堪，作为雷元素二把手，只要队伍搭配正确依然可以打出爆发伤害。', '\n', '赛诺搭配草神瞬间成为T0队伍，伤害爆发力得到大幅度提升，至少和妮露一个水平。不过仅仅是在草神的加持下才有如此威力，如果脱离草神的辅助，赛诺确实不堪入目。', '\n', '总体来说这个角色上限高下限低。不太适合新手。有草神情况下才能崛起，否则没伤害。\xa0', '\n', '总结：这四个角色各有优缺点，其中推荐胡桃和妮露这两个角色比较强势，其他两个角色同样很不错作为第二选择。爆发力讲究的是秒杀的快感，玩家们可以去试试。', '\n']",4718839822,"['胡桃', '优菈', '赛诺', '妮露']",[],"['角色攻略', '其他攻略']"
莱依拉攻略合集 | 综合攻略、突破材料、圣遗物、武器,  文本&收集：寒塘渡亡鸦┏本帖包含以下莱依拉相关内容基本信息深入解析材料采集┛各位旅行者们大家好呀！不知道大家有没有抽到可爱的莱依拉小姐。要是能像莱依拉一样梦里写论文就好了唔。,31863858,80823534,"[' \xa0', '\n', '文本&收集：', '寒塘渡亡鸦', '\n', '┏\n本帖包含以下', '莱依拉', '相关内容', '\n', '基本信息', '\n', '深入解析', '\n', '材料采集', '\n', '┛', '\n', '各位旅行者们大家好呀！', '\n', '不知道大家有没有抽到可爱的莱依拉小姐。', '\n', '要是能像莱依拉一样梦里写论文就好了唔。', '\n', '（我在做梦ing）', '\n', '算了，还是和bot一起来看看莱依拉的养成攻略吧！', '\n', '┏', '\n', '基本信息', '\n', '  ┛', '\n', '>>  “天降论文”——莱依拉的使用攻略', '\n', '作者：', 'O丶Ha丶Yo', '\n', '※内容简介：莱依拉详细分析~', '\n', ' \n┏', '\n', '深入解析', '\n', ' ┛', '\n', '\xa0', '\n', '>>  莱依拉（机制/装备/队伍搭配）', '\n', '作者：', 'Asgater', '\n', '※内容简介：一图流看莱依拉~', '\n', ' ', '\n', '>> 莱依拉角色机制攻略', '\n', '作者：', '哥布林Goblin', '\n', '※内容简介：莱依拉机制分析', '\n', ' \n', '>>  莱依拉，没钟离必抽角色', '\n', '作者：', '八重樱cy', '\n', '※内容简介：莱依拉技能讲解~', '\n', ' ', '\n', '┏', '\n', '材料采集', '\n', ' ┛', '\n', '>>  莱依拉-数据、攻略、材料合集', '\n', '作者：', '汐儿', '\n', '※内容简介：莱依拉养成合集~', '\n', ' \xa0', '\n', '>>  保姆级攻略，莱依拉突破材料月莲10分钟68个', '\n', '作者：', '邦邦龙Q', '\n', '※内容简介：月莲收集路线~', '\n', ' \n┏', '\n', '鸣谢\xa0', '\n', ' ┛', '\n', '排名不分先后：', '\n', '\xa0', '\n', 'O丶Ha丶Yo', ' ', '| ', 'Asgater', ' | ', '哥布林Goblin', '\n', ' ', '汐儿', ' | ', '八重樱cy', ' | ', '邦邦龙Q', '\n', '\xa0', '\n', '    感谢以上攻略大佬为我们带来的精彩攻略，大家别忘了给大佬们点个', '关注', '哦~', '\n', '\xa0\n\t如果你还需要这样的合集，欢迎点个', '关注', '！', '\n', '后续bot后持续更新各类合集和攻略栏目，敬请期待~', '\n', '\n', '\n']",攻略推荐bot,['莱依拉'],[],['角色攻略']
3.2版本全深渊阵容推荐丨轻松拿捏新深渊打法，掌握最全配队,大家好我是游创工坊的文案澈晓，今天为大家带来3.2版本全角色深渊阵容推荐！出于各种原因，很多人对角色的配队思路并不算完全了解，再由于纳西妲实装为原神新增了海量阵容，加上原神的深渊难度有所加强，因此本,31853667,165066482,"['大家好我是', '游创工坊', '的文案', '澈晓', '，今天为大家带来', '3.2版本全角色深渊阵容推荐', '！\n出于各种原因，很多人对角色的配队思路并不算完全了解，再由于纳西妲实装为原神新增了海量阵容，加上原神的深渊难度有所加强，因此本期深渊阵容推荐应约而来，并且会为大家带来3.2版本深渊的打法思路，希望能够让更多旅行者更简单的通关深渊。\n为了解决在许多人看来比较困难的困难，3.1版本深渊阵容推荐虽迟但到！\n\xa0\n', '【3.2版本深渊12层技巧分享】', '\n', '本期深渊12层在阵容角色选取方面有所限制，', '上半强制要求带奶和弓，且限制盾系；下半限制以冰、雷为主要输出能力的阵容。', '\n总体来说本期深渊比较依赖角色池，虽然说以往的', '“永冻+雷国”思路依旧能玩', '，但本期深渊环境对阵容的整体练度要求也有所提高，低练永冻雷国打起来还是相当费劲的。\n\xa0\n所以', '阵容选择', '非常重要，这里举几个比较好用的强力阵容，如果有合适的可以拿去抄作业：\n', '上半：', '万达国际、绫华永冻（温迪/迪奥娜/甘雨至少带一个）', '、雷九万班（雷神最好2命）、玉皇妲帝（纳西妲带金珀）、妮绽放（夜兰/柯莱至少带一个）、绫人烈绽放等；\n', '下半：', '妮绽放（真的是本期下半的神）、宵夜（雷音亲妈谁懂）', '、提纳里激化、绫人超绽放、绫人烈绽放、草神国家队、夜兰纯水、心海纯水等。\n\xa0\n', '<打法思路>', '\n', '12-1上半：', '\n12只小狗+2只大狗，', '场上始终保持6只', '，因此如果分批次击杀的话可以视作2波小狗1波大狗，有聚怪最好，没有的话也尽量选择aoe阵容；\n注意不要站在狗群中间被连续击中，否则流血debuff叠起来非常容易暴毙，这间只要不死且阵容有aoe能力基本没难度；\n', '12-1下半：', '\n相信很多旅行者对雷音的印象就是容易乱跑，但实际上只要', '保证随时紧贴', '，雷音就最多只会产生一小段位移，不会全场乱跑；\n乱跑的一定是有一瞬间开大招无敌帧躲技能然后雷音位移没跟上！\n', '12-2上半：', '\n共8只空壳，这间主要拼输出，输出足够随便打，也没有什么聚怪拉怪技巧；\n不过注意不要带护盾，如果带了也不要开，不然还是有点小麻烦的；\n', '12-2下半：', '\n2只冰丘王+2只雷丘王，', '开局直接打，两只冰丘王会站到一起，第二波雷丘王跑到场地边缘手动拉怪', '，这间主要难点在于冰丘王的冰爪debuff以及冰丘王自身伤害太高；\n带钟离的队伍在12-2下半会比较吃香，不过也要注意躲避，别被连续击中两次，并且注意及时补盾，否则钟离也救不了；\n妮绽放在这间表现极其惊艳，通过连续无敌帧以及自动化伤害可以轻取冰雷丘王；\n', '12-3上半：', '\n飞天猪开局短暂等待后起飞，', '用弓箭射击弱点即可击落', '，后续把爆发都交出来即可；\n', '50多秒时飞天猪会第二波起飞，会短暂露出胸部中心弱点，注意时机只需要射一箭，没赶上的话依旧射翅膀两边弱点即可击落；', '\n如果阵容输出实在不够会起飞第三次，注意记好时间，正常情况下', '飞天猪每过50多秒就会起飞一次', '，记好时间不要在飞天前交技能即可；\n', '12-3下半：', '\n下半两波怪只需要注意优先击杀对象即可，', '第一波优先找女召唤师，第二波优先找愚人众岩法即可', '，基本没什么难度；\n', '召唤师召唤宠物后，如果血量低直接硬杀即可，如果血量还比较多，最好先把召唤物击杀了再继续打。', '\n\xa0\n', '本期更新内容：', '\n1.新增了新角色纳西妲、莱依拉的阵容推荐；\n2.结合新深渊调整了部分阵容推荐程度，并更新了部分角色的队友推荐。\n', '另外有些注意点需要提前说明一下，非常重要！\n1.', '阵容推荐仅针对深渊，阵容推荐程度仅针对当期深渊；', '\n2.阵容只是帮助大家了解角色的一种形式，虽然做了每个版本的阵容推荐程度以及评价，但并不希望因此作为pvp素材，因为仅为推荐，并不具有权威性。阵容的强度和玩家的练度、手法息息相关，所以有人有不同见解或觉得某个阵容就是比另一个阵容强也在情理之中，如有疑问，以各位为准；\n3.', '很多阵容会抢占大量强力辅助，但没有必要因此而心怀恶意的抵制', '，抢占大量辅助是因为值得，真正应该做的是组一支与一队不冲突的阵容', '。', '\n原神的深渊环境多变，也使很多阵容的风评与表现随着环境的改变而改变，这一点是很有意思的。虽然有一些一招鲜吃遍天的强力阵容，但一直玩一套也没那么有意思，打法多样，思路不断拓宽才是游戏健康发展的正确方向。\n\xa0\n最后是老套的结束语。\n以上就是本篇攻略的全部内容啦，如果有不足之处，欢迎指正。\n有关于配队或资源规划等方面的问题，可以私信我，看到的话会回复，知无不言。\n版本不断更新，环境不断变化，任何角色的深渊配队推荐与阵容的具体表现都有可能发生变化，因此这个系列未来也会持续更新，为各位带来最新的游戏攻略。\n如果觉得这篇攻略不错的话，欢迎多多点赞评论收藏，这是对澈晓最大的帮助啦！\n']",澈晓嘟噜噜,"['纳西妲', '莱依拉']",[],['角色攻略']
隐藏成就：飞驰如风,很简单，就懒得写文字攻略了，就发个视频吧,31619666,211156794,"['很简单，就懒得写文字攻略了，就发个视频吧\n', '\n']",青水不长流,[],[],"['其他攻略', '原神3.2攻略征集']"
原神：物伤体系已成时代眼泪，深渊使用率垫底，武器也遭玩家嫌弃,派蒙：泪目，当七元素已经深入玩家日常体系，物伤愈发冷门了。冻梨：当初那个拎着大剑锤爆提瓦特的狼崽，已被新手推荐所遗忘。当玩家铺天盖地都在讨论草体系多么的快乐开摆，元素反应带来的伤害增幅多么炸裂之,31908971,73314386,"['派蒙：泪目，当七元素已经深入玩家日常体系，物伤愈发冷门了。', '\n', '冻梨：当初那个拎着大剑锤爆提瓦特的狼崽，已被新手推荐所遗忘。', '\n', '\n当玩家铺天盖地都在讨论草体系多么的快乐开摆，元素反应带来的伤害增幅多么炸裂之时，总有三个体系「风岩物」默默看着。又是没有“加餐”的一天，风岩相对还好，至少角色多体系种类多，策划不至于绝对性遗忘，物伤真就还有多少人记得咧？\n', '\n', '本期3.2版本深渊的使用率，限定5星中优菈倒数第一、4星角色中雷泽辛焱分揽倒一倒二。', '这波属于是同是天涯沦落人，物伤的春天，何时才能到来？\n', '\n', '虽说冰雷超导可以降低魔物40%物理抗性，但事实就是，除去少部分人型小怪以外，绝大部分魔物都有拥有较高的物抗。', '特别是近期一直在推出的各种新遗迹体系，体形大物抗高、卡肉普攻手感迟钝感强。物伤角色并非不能打，但挺难受的，整体体验也很无奈。\n', '\n', '本身物伤角色在倍率方面就不具备太大优势。', '优菈大招全提瓦特最强？当其按照输出轴去计算DPS时就是另外一回事了。并且物伤缺失一个反应乘区，原先并称难兄难弟的雷系已经借着激化起飞了，物伤仍然还停滞不前。\n', '\n配队体系的停滞不前，基本上一直无较大变化，再加上角色换来换去就那几个，趣味性有限。不是没有物伤爱好者，但同一个体系玩多了也挺无聊的，需要新鲜血液的注入。', '物伤C至今停滞在1.5版本优菈、物伤拐停滞在1.4罗莎莉亚。', '\n', '\n角色混得不如意，武器也是一样。上至各种天空系列的额外物理伤害，下至4星武器额外物理伤害，无一不被玩家嫌弃。', '最新一把额外物伤武器是啥来着？3.0版本推出的钓鱼兑换武器——竭泽，战技命中造成范围物伤。', '从推出至今，讨论度基本为零，也许很多玩家都不知道有这个武器。\n', '\n', '既然挖了这个物伤坑，总不能草草了事吧？', '当年抽优菈就是抱着，万一遇到一些特殊环境对元素相关有限制时，可以英雄登场。结果就是物伤体系一直不完善，并随着各种机制怪的增多，物伤愈发不知所措了起来，好像被时代遗忘了。\n', '\n此前针对久岐忍、多莉这种雷奶，有过微弱的物伤新辅助讨论声音，但很快就在各种草体系的普及下被掩盖了，可惜。\n', '\n愚人众有许多角色并没有神之眼，他们每一位的模型都不是大众NPC类型，有较大的入池可能性。', '愚人众执行官们会成为重振物伤荣光的关键么？', '\n', '\n', '抬物伤是否意味着违背原神关键的元素反应这一设定呢？冻梨个人感觉并不是。', '正如前面冰雷超导减物抗一样，冰水+削韧还有个碎冰物伤，这是不都是元素反应么？加以开发何尝不是一种新玩法呢。\n', '\n', '本身原神就在控制数值膨胀，与其继续抬热门赛道，帮扶冷门体系何尝不是一种新选择呢。真心希望物伤不止步于此，而是有与其他元素反应同台竞技的机会~', '\n\n']",冻梨游研社,"['雷泽', '辛焱', '优菈']","['每日一水', '愚人众统括官「丑角」', '虚空鼓动，劫火高扬']",[]
隐藏任务，夜叉之愿,大家好呀，这里是祈鸢，本期给大家带来的是隐藏任务，夜叉之愿的解密攻略任务概述：探索绝云间的遗迹，完成解密获得夜叉留下的宝藏任务奖励：30原石，6本蓝书，5个珍贵宝箱，1个精致宝箱预计用时：15,31901091,137101761,"['\n', '大家好呀，这里是祈鸢，本期给大家带来的是', '隐藏任务，', '夜叉之愿', '的解密攻略\n', '任务概述', '：探索绝云间的遗迹，完成解密获得夜叉留下的宝藏\n', '任务奖励', '：', '30原石', '，6本蓝书，5个珍贵宝箱，1个精致宝箱\n', '预计用时', '：15分钟\n', '注意事项', '：\n（1）这个任务虽然不容易发现，但应该会被大家当解密做掉吧\n', '1，我们来到', '绝云间的遗迹', '前，触碰石碑接取', '任务《夜叉之愿》', '\n', '\n2，接下来，我们需要去', '寻找3个光导装置', '，并带回石碑处\n3，先去', '北方的丘丘人营地', '，击败营地内的魔物后，就能进入房屋\n获得', '第一个', '光导装置和', '一个珍贵宝箱', '\n', '\n4，接下来前往', '东南边的祭坛', '，同样是击败周围的魔物\n进入屏障，获得', '第二个', '光导装置和', '一个珍贵宝箱', '\n', '\n5，之后我们向南走，在', '高塔的密室', '内\n', '\n6，击碎矿石获得', '岩种子', '，靠近这两个灯笼，分别将其点亮即可', '开启密室', '\n获得', '第三个', '光导装置和', '一个精致宝箱', '\n', '\n7，最后把三个', '光导装置', '带回石碑处，此时对面', '遗迹', '的大门就会开启\n我们进入遗迹开启其中的', '三个珍贵宝箱', '即可\n', '\n8，将宝箱全部开启后，任务完结\n', '那么以上就是本期全部内容，我们下期再见\n作者：祈鸢ya 原神冒险团\n']",祈鸢ya,[],[],[]
【3.2深渊】全角色四星满星12层，砂糖武装再次出击！,这期深渊 对比之前来说还是偏难的 ，但我看见流血狗和空壳怪这种群怪的时候，发现好像感电队可以再就业，一开始尝试芭芭拉武装发现上层似乎很轻松，但是12-2的空壳怪对芭芭拉北斗来说比较难处理，因为北斗大招,31790694,158759597,"['这期深渊 对比之前来说还是偏难的 ，但我看见流血狗和空壳怪这种群怪的时候，发现好像感电队可以再就业，一开始尝试芭芭拉武装发现上层似乎很轻松，但是12-2的空壳怪对芭芭拉北斗来说比较难处理，因为北斗大招的闪雷只能弹3个目标，于是换成了砂糖来当驾驶员，具体打法细节请看下方视频 \n由于每一间的阵容不同，我把视频每一间单独分了出来', '_(米游姬-乖巧)', '\n', '12-1', '\n', '\n', '12-2', '\n', '\n', '12-3', '\n', '\n', '\n\n', '\n', '角色面板及圣遗物 ，武器', '\n', '\n', '砂糖：', '圣遗物4饰金，武器天空之卷', '\n', '\n', '北斗：', '圣遗物4如雷，武器西风大剑', '\n', '\n', '\n', '行秋：', '圣遗物2乐团2沉沦，武器祭礼剑', '\n', '\n', '凝光：', '圣遗物2磐岩2角斗士，武器四风原典', '\n', '\n', '菲谢尔：', '圣遗物4如雷，武器绝玄', '\n', '\n', '班尼特：', '圣遗物4魔女，武器磐岩结绿', '\n', '\n', '香菱：', '圣遗物4绝缘，武器天空之枪', '\n', '_(安详)', '大部分武器用的也是四星，只有班尼特和香菱拿的五星武器。\n香菱其实用精5鱼叉上限会更高一点点，但是我贪了天空枪的8%暴击，对自己圣遗物没压力的 可以换成鱼叉香菱', '_(哭哭)', '\n班尼特的话一开始我带的是雾切，但是由于我圣遗物不是很好，暴击才50%出头，怎么打也满星不了，后面换成绿箭暴击提到80+%才打满，中了雾切的陷阱 虽然伤害高了，但没暴击，反而降低自己的输出\n凝光的话 我是整活打雷鸟的，看看就好 请勿模仿 ', '_(偶像姬_糖葫芦)', '\n']",冰霜骗骗花喵,"['班尼特', '砂糖']","['游戏心得', '深境螺旋']",['原神3.2攻略征集']
